Phone_number,International_calls,Voice_mail,Number_of_voicemails,Daytime_minutes_used,Number_of_calls_during_the_day,Monthly fee,Used_evening_minutes,Number_of_calls_in_the_evening,Subscription_fee_in_the_evening,Using_night_minutes,Number_of_night_calls,Nightly_subscription_fee,Minutes_of_long_distance_calls,Number_of_international_calls,Subscription_fee_for_international_calls,The_number_of_calls_to_the_service_department
352-4401,нет,нет,0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2
347-1473,нет,нет,0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2
347-2016,нет,нет,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5
388-8948,да,нет,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4
402-5509,нет,да,26,257.2,108,43.72,224.3,122,19.07,204.0,118,9.18,12.6,4,3.4,1
367-2598,нет,нет,0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1
370-5001,нет,нет,0,175.1,144,29.77,216.9,69,18.44,243.7,146,10.97,9.9,3,2.67,1
332-3693,нет,нет,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,7.5,5,2.03,3
403-9766,нет,нет,0,271.6,130,46.17,156.0,131,13.26,136.3,108,6.13,11.6,9,3.13,2
363-2407,нет,нет,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1
395-9214,нет,да,33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3
351-8894,нет,нет,0,101.1,119,17.19,214.4,67,18.22,179.5,112,8.08,10.3,5,2.78,2
406-5003,нет,нет,0,203.3,70,34.56,228.9,97,19.46,222.2,118,10.0,14.3,3,3.86,1
398-1332,нет,да,35,175.4,88,29.82,190.0,65,16.15,138.7,94,6.24,10.5,3,2.84,2
363-8033,нет,нет,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2
333-1012,нет,да,41,171.6,110,29.17,136.1,78,11.57,183.4,103,8.25,10.8,7,2.92,0
391-6260,нет,нет,0,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14.0,8,3.78,0
336-1353,нет,да,20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0
365-5629,нет,нет,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10.0,6,2.7,1
349-4397,нет,нет,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1
380-3910,да,нет,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0
354-7820,нет,нет,0,225.9,123,38.4,162.8,106,13.84,272.1,85,12.24,10.1,4,2.73,1
338-9952,да,да,32,173.0,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0
405-1821,нет,нет,0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8.0,2,2.16,0
329-8669,нет,нет,0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1
328-8808,нет,нет,0,137.0,128,23.29,217.0,116,18.45,182.1,86,8.19,10.0,5,2.7,2
409-3018,нет,нет,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2
421-5994,нет,нет,0,142.4,126,24.21,126.2,118,10.73,274.2,71,12.34,4.6,4,1.24,1
354-4448,нет,да,21,147.0,112,24.99,197.3,43,16.77,267.4,93,12.03,8.7,3,2.35,2
352-5081,нет,нет,0,220.3,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1
401-7803,нет,нет,0,149.2,96,25.36,260.7,116,22.16,201.0,120,9.05,8.1,2,2.19,1
420-6052,нет,нет,0,204.4,88,34.75,137.5,111,11.69,226.0,100,10.17,10.0,4,2.7,0
352-6084,нет,нет,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1
388-8583,нет,да,28,308.0,123,52.36,247.8,128,21.06,152.9,103,6.88,7.4,3,2.0,1
415-3158,нет,нет,0,58.0,125,9.86,67.5,116,5.74,185.9,136,8.37,11.5,3,3.11,0
402-9304,нет,нет,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2
341-1916,нет,да,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4
381-2745,нет,да,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0
402-5014,нет,нет,0,236.8,102,40.26,167.1,87,14.2,280.2,115,12.61,9.7,3,2.62,3
399-8846,нет,нет,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0
328-9267,нет,да,32,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2
348-7224,нет,нет,0,146.7,128,24.94,106.2,74,9.03,197.7,104,8.9,11.1,4,3.0,2
336-2190,нет,нет,0,237.3,83,40.34,154.0,65,13.09,237.0,105,10.67,11.2,6,3.02,1
376-4705,да,нет,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0
381-4076,нет,да,20,186.9,114,31.77,256.3,91,21.79,334.7,104,15.06,8.9,2,2.4,1
348-8464,нет,нет,0,86.1,100,14.64,259.8,113,22.08,148.0,79,6.66,9.1,9,2.46,2
412-7020,нет,нет,0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2
386-8432,нет,нет,0,151.0,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2
337-1802,нет,нет,0,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2
366-1084,нет,нет,0,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0
352-4182,нет,да,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3
368-5628,нет,нет,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,10.4,6,2.81,3
333-8996,нет,нет,0,176.8,92,30.06,187.5,97,15.94,196.8,88,8.86,6.5,3,1.76,2
353-2557,нет,да,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0
356-8621,нет,да,26,146.6,68,24.92,172.8,67,14.69,173.8,113,7.82,10.0,2,2.7,1
354-6942,нет,нет,0,260.5,108,44.29,102.4,110,8.7,129.7,148,5.84,9.8,5,2.65,1
377-9829,нет,да,20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1
348-4660,да,нет,0,124.5,134,21.17,141.2,78,12.0,268.2,113,12.07,11.4,2,3.08,2
410-5199,нет,нет,0,209.4,49,35.6,237.4,117,20.18,239.2,98,10.76,9.8,11,2.65,1
397-6542,нет,нет,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1
333-4492,нет,нет,0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1
405-9573,нет,нет,0,144.4,88,24.55,264.6,105,22.49,185.4,94,8.34,9.9,3,2.67,1
359-7255,нет,да,50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,11.1,4,3.0,2
419-5501,нет,да,36,77.6,141,13.19,207.0,60,17.6,255.7,115,11.51,10.9,2,2.94,1
404-4809,нет,нет,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1
344-6334,нет,нет,0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0
400-1899,нет,нет,0,114.8,98,19.52,192.6,101,16.37,259.0,108,11.66,12.2,5,3.29,0
346-5053,нет,да,34,138.8,80,23.6,142.0,108,12.07,183.8,77,8.27,11.8,7,3.19,1
398-2148,нет,да,27,209.8,112,35.67,155.0,80,13.18,251.5,111,11.32,7.2,6,1.94,0
347-7675,нет,нет,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3
411-8956,да,нет,0,164.0,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0
390-3761,нет,нет,0,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1
377-3876,нет,да,32,80.3,94,13.65,199.9,124,16.99,170.8,117,7.69,16.6,3,4.48,0
345-2476,нет,нет,0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2
337-7879,нет,да,36,190.3,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1
361-7283,нет,нет,0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,1
372-4868,нет,да,17,89.8,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4
346-8863,нет,да,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10.0,3,2.7,2
390-5267,нет,да,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5
392-1547,да,нет,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2
340-8177,нет,нет,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3
383-4802,нет,да,19,165.8,122,28.19,186.9,89,15.89,249.7,78,11.24,0.0,0,0.0,1
378-8567,нет,нет,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0
406-7844,нет,нет,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2
402-9173,нет,нет,0,174.1,102,29.6,99.1,118,8.42,211.6,126,9.52,7.7,2,2.08,2
352-3440,нет,нет,0,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2
363-1413,да,нет,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13.0,3,3.51,1
394-8861,нет,нет,0,170.2,89,28.93,187.5,83,15.94,119.5,100,5.38,4.3,3,1.16,0
358-4036,нет,нет,0,139.6,92,23.73,250.2,115,21.27,158.1,79,7.11,10.8,4,2.92,1
392-4680,нет,да,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4
354-2762,нет,нет,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4
371-5811,нет,нет,0,113.6,87,19.31,158.6,98,13.48,187.7,87,8.45,10.5,6,2.84,2
387-2014,нет,нет,0,202.6,89,34.44,163.0,96,13.86,268.1,151,12.06,8.3,3,2.24,0
411-6598,нет,нет,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4
355-9356,нет,нет,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0
406-4720,нет,нет,0,121.5,88,20.66,253.0,124,21.51,195.7,120,8.81,10.7,4,2.89,1
356-7239,нет,нет,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2
328-8747,нет,нет,0,135.2,98,22.98,242.0,107,20.57,246.9,96,11.11,10.2,2,2.75,2
388-9464,нет,нет,0,99.4,62,16.9,275.0,86,23.38,212.1,94,9.54,16.7,3,4.51,2
406-2866,нет,нет,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1
333-5729,нет,нет,0,163.4,134,27.78,240.1,87,20.41,164.0,147,7.38,11.6,2,3.13,2
391-1499,нет,нет,0,287.4,116,48.86,235.3,126,20.0,292.1,114,13.14,5.0,3,1.35,4
386-8690,нет,да,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1
391-2231,нет,нет,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2
332-2275,нет,нет,0,185.0,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3
340-4028,нет,нет,0,160.9,109,27.35,144.2,152,12.26,120.4,97,5.42,12.9,12,3.48,1
363-3486,нет,нет,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2
418-3181,нет,нет,0,209.2,134,35.56,0.0,0,0.0,175.4,94,7.89,11.8,6,3.19,1
351-3316,да,нет,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1
369-3626,нет,нет,0,149.0,73,25.33,131.0,81,11.14,238.6,69,10.74,8.6,3,2.32,2
353-2763,нет,нет,0,204.5,63,34.77,208.8,95,17.75,224.0,119,10.08,9.8,2,2.65,0
358-7165,нет,нет,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0
353-3223,нет,да,40,108.6,90,18.46,206.4,154,17.54,126.3,118,5.68,13.4,4,3.62,0
338-9044,нет,нет,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7.0,5,1.89,1
341-7296,нет,нет,0,166.5,102,28.31,261.0,103,22.19,262.7,85,11.82,13.3,5,3.59,0
398-4431,нет,нет,0,156.2,104,26.55,90.0,101,7.65,205.1,116,9.23,7.3,5,1.97,1
408-5601,нет,да,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4
328-5188,да,нет,0,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10.0,3,2.7,1
329-4474,нет,да,19,175.3,96,29.8,241.3,146,20.51,211.4,109,9.51,7.8,2,2.11,0
357-4573,нет,нет,0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0
341-7112,нет,нет,0,157.9,103,26.84,259.6,90,22.07,230.0,117,10.35,14.0,2,3.78,0
400-3147,нет,да,19,146.5,73,24.91,246.4,65,20.94,199.0,114,8.96,4.1,4,1.11,1
378-1936,нет,нет,0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9.0,13,2.43,1
347-1640,да,нет,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,10.5,5,2.84,1
374-9531,да,нет,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10.0,5,2.7,2
380-4374,нет,нет,0,117.8,100,20.03,199.2,105,16.93,244.1,119,10.98,11.8,4,3.19,0
380-9409,нет,нет,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2
387-1116,нет,нет,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5
400-7509,нет,нет,0,163.4,83,27.78,249.3,119,21.19,249.7,90,11.24,9.8,4,2.65,7
403-6225,нет,нет,0,161.0,113,27.37,208.0,134,17.68,208.1,81,9.36,8.4,4,2.27,3
382-8274,нет,нет,0,128.7,111,21.88,169.5,104,14.41,193.6,97,8.71,10.3,5,2.78,1
354-5764,нет,нет,0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1
387-6912,нет,да,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1
384-3413,нет,нет,0,128.6,115,21.86,216.2,88,18.38,255.3,96,11.49,6.3,2,1.7,6
367-3950,нет,нет,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1
396-4254,нет,нет,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5
333-3010,нет,да,36,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6
393-1891,нет,нет,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1
336-9053,нет,да,30,183.8,102,31.25,183.4,123,15.59,235.0,52,10.58,11.6,7,3.13,0
353-3372,нет,нет,0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3
386-8943,нет,нет,0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1
376-9716,нет,нет,0,227.8,81,38.73,161.8,97,13.75,217.0,106,9.76,8.0,5,2.16,1
370-8676,нет,да,20,147.8,132,25.13,276.8,94,23.53,149.9,110,6.75,10.2,6,2.75,0
360-2329,нет,нет,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1
360-1320,нет,нет,0,110.9,54,18.85,213.4,82,18.14,186.2,116,8.38,7.9,2,2.13,2
329-8638,нет,да,22,124.5,94,21.17,231.7,90,19.69,222.2,108,10.0,6.4,12,1.73,1
385-1118,да,нет,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0
408-8269,нет,да,35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2
391-2334,нет,нет,0,58.2,96,9.89,202.1,126,17.18,210.5,97,9.47,10.4,5,2.81,0
373-8900,нет,нет,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7.0,6,1.89,1
382-3512,нет,нет,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0
420-4089,да,нет,0,146.3,117,24.87,218.7,93,18.59,236.0,97,10.62,11.5,5,3.11,1
406-8465,нет,нет,0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0
386-6114,нет,нет,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1
413-9328,нет,нет,0,135.7,107,23.07,208.4,103,17.71,209.0,95,9.4,8.8,3,2.38,7
335-7144,нет,нет,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3
414-5177,нет,нет,0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1
350-5993,нет,нет,0,153.3,106,26.06,224.5,117,19.08,273.4,152,12.3,8.9,5,2.4,2
370-1465,нет,нет,0,214.0,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1
385-2370,нет,нет,0,194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1
358-9146,нет,нет,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3
357-8515,нет,да,12,188.0,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,2.84,2
406-8995,да,нет,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3
344-3145,нет,нет,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12.0,5,3.24,3
341-9890,да,нет,0,115.1,114,19.57,211.3,70,17.96,136.1,85,6.12,13.8,3,3.73,2
365-4387,нет,да,28,172.9,109,29.39,137.6,94,11.7,203.8,109,9.17,8.3,6,2.24,1
375-3341,да,нет,0,156.4,116,26.59,130.4,114,11.08,207.3,109,9.33,7.3,5,1.97,1
418-3096,нет,да,24,128.1,104,21.78,143.4,127,12.19,191.0,98,8.59,11.6,3,3.13,1
378-3879,нет,нет,0,196.6,73,33.42,170.2,79,14.47,194.3,79,8.74,12.5,3,3.38,1
344-1362,нет,нет,0,227.9,130,38.74,302.6,71,25.72,191.5,82,8.62,5.5,7,1.49,1
419-3937,нет,да,31,194.9,63,33.13,191.6,90,16.29,153.0,129,6.89,13.2,2,3.56,2
348-4961,нет,да,34,44.9,63,7.63,134.2,82,11.41,168.4,118,7.58,13.3,3,3.59,1
329-1410,нет,да,30,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,0
332-9896,нет,нет,0,211.2,70,35.9,252.7,122,21.48,225.8,104,10.16,12.3,3,3.32,0
407-8575,нет,нет,0,204.0,69,34.68,225.1,110,19.13,240.3,85,10.81,9.6,5,2.59,1
387-2799,нет,нет,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,14.5,4,3.92,3
373-9108,нет,нет,0,119.0,82,20.23,187.5,108,15.94,189.3,97,8.52,11.5,3,3.11,1
345-3947,нет,нет,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3
356-7511,нет,нет,0,134.4,104,22.85,152.4,95,12.95,236.5,80,10.64,9.4,3,2.54,1
343-4516,нет,нет,0,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,1
408-6305,нет,нет,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2
338-7305,нет,нет,0,178.5,124,30.35,146.9,141,12.49,217.1,102,9.77,9.9,7,2.67,1
401-3077,нет,нет,0,205.2,145,34.88,154.8,95,13.16,191.4,77,8.61,14.1,5,3.81,3
401-6977,нет,да,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13.0,2,3.51,0
385-1464,нет,да,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5
417-5034,нет,нет,0,55.6,97,9.45,288.7,83,24.54,111.2,110,5.0,12.1,3,3.27,2
420-7066,нет,да,37,153.5,78,26.1,241.9,108,20.56,244.7,110,11.01,10.6,3,2.86,1
394-8256,нет,нет,0,109.8,100,18.67,189.6,104,16.12,206.7,85,9.3,11.1,3,3.0,1
362-5044,нет,нет,0,196.1,89,33.34,185.5,87,15.77,250.0,132,11.25,5.2,6,1.4,2
350-2075,нет,нет,0,166.8,127,28.36,143.5,121,12.2,210.7,130,9.48,11.8,4,3.19,0
343-5372,нет,да,25,113.2,96,19.24,269.9,107,22.94,229.1,87,10.31,7.1,7,1.92,2
377-9520,нет,нет,0,203.0,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1
391-6773,нет,нет,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,6.0,3,1.62,5
403-4442,нет,нет,0,156.5,102,26.61,140.2,134,11.92,227.4,111,10.23,12.2,2,3.29,2
379-5885,нет,нет,0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3
399-1021,нет,да,23,182.0,80,30.94,216.1,85,18.37,156.9,82,7.06,9.8,4,2.65,1
342-4004,нет,нет,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0
382-7659,нет,да,33,146.6,87,24.92,114.8,59,9.76,220.4,99,9.92,2.9,7,0.78,0
342-1004,нет,да,35,110.5,101,18.79,208.3,81,17.71,87.4,77,3.93,13.9,2,3.75,4
398-5851,нет,нет,0,118.6,89,20.16,199.6,97,16.97,53.3,61,2.4,11.5,5,3.11,1
396-4869,нет,да,22,197.6,105,33.59,80.0,86,6.8,120.8,82,5.44,15.6,12,4.21,2
422-8333,нет,да,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6
367-9127,нет,да,28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,9.4,6,2.54,4
420-3028,нет,нет,0,150.0,98,25.5,232.4,101,19.75,261.2,123,11.75,12.5,6,3.38,1
357-6348,нет,да,34,161.7,114,27.49,207.6,115,17.65,205.7,114,9.26,9.2,4,2.48,0
386-1131,нет,нет,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,14.0,5,3.78,3
349-8391,да,нет,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3
421-1484,нет,нет,0,109.4,103,18.6,101.3,111,8.61,167.3,106,7.53,7.8,7,2.11,1
414-2663,нет,нет,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1
327-6989,нет,да,42,248.9,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,1
405-5513,нет,нет,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4
345-9168,нет,нет,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3
417-5146,нет,нет,0,158.9,137,27.01,242.8,109,20.64,247.8,97,11.15,6.5,4,1.76,0
339-2792,нет,да,28,110.0,94,18.7,141.5,76,12.03,237.3,87,10.68,6.4,3,1.73,2
345-8397,нет,нет,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1
344-6404,нет,нет,0,145.6,103,24.75,197.1,137,16.75,294.5,83,13.25,10.5,4,2.84,0
417-9455,нет,нет,0,93.3,83,15.86,199.6,114,16.97,206.2,104,9.28,6.5,4,1.76,0
343-1009,нет,нет,0,216.8,134,36.86,187.8,106,15.96,138.1,108,6.21,8.3,2,2.24,0
365-3493,нет,нет,0,201.9,101,34.32,154.7,78,13.15,164.4,79,7.4,9.0,2,2.43,1
376-7043,нет,нет,0,146.4,81,24.89,225.1,80,19.13,230.1,117,10.35,8.5,2,2.3,1
348-5728,нет,нет,0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2
357-5784,нет,нет,0,18.9,92,3.21,258.4,81,21.96,109.6,74,4.93,14.8,4,4.0,1
417-9844,нет,нет,0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2
333-7225,нет,нет,0,190.2,119,32.33,157.1,70,13.35,181.5,120,8.17,14.0,6,3.78,0
382-4943,нет,нет,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3
345-4589,нет,нет,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4
404-6337,нет,нет,0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1
412-1470,нет,нет,0,129.3,103,21.98,202.8,89,17.24,233.0,126,10.49,12.9,2,3.48,2
394-9220,нет,нет,0,199.3,112,33.88,193.4,120,16.44,254.4,117,11.45,7.0,10,1.89,0
364-5362,нет,нет,0,185.1,126,31.47,233.0,98,19.81,152.2,106,6.85,9.1,7,2.46,0
372-9852,нет,нет,0,175.4,80,29.82,197.4,127,16.78,188.2,102,8.47,9.7,2,2.62,2
394-9984,нет,нет,0,263.4,123,44.78,151.9,74,12.91,218.5,101,9.83,10.7,2,2.89,2
402-1668,нет,нет,0,94.2,108,16.01,264.1,100,22.45,203.7,79,9.17,7.3,3,1.97,1
339-5659,нет,нет,0,189.4,83,32.2,219.0,89,18.62,168.0,116,7.56,7.1,8,1.92,3
341-7279,нет,да,35,118.0,103,20.06,167.2,106,14.21,205.7,102,9.26,11.8,2,3.19,2
371-3236,нет,нет,0,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,8.4,5,2.27,3
343-5679,нет,нет,0,222.0,93,37.74,187.0,103,15.9,282.3,124,12.7,12.4,6,3.35,2
347-4626,нет,да,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0
344-8498,нет,да,25,190.0,137,32.3,116.6,76,9.91,141.5,110,6.37,12.2,2,3.29,1
349-3005,нет,нет,0,271.8,129,46.21,237.2,128,20.16,210.1,91,9.45,8.7,2,2.35,4
371-3498,нет,да,29,195.4,83,33.22,268.2,93,22.8,168.0,95,7.56,8.4,6,2.27,3
367-4853,нет,нет,0,199.6,93,33.93,214.3,99,18.22,196.8,110,8.86,7.2,5,1.94,3
422-3454,нет,нет,0,100.0,98,17.0,173.5,95,14.75,218.0,122,9.81,10.1,4,2.73,0
403-8915,нет,да,21,160.6,85,27.3,223.1,79,18.96,124.0,92,5.58,9.5,1,2.57,2
371-2418,нет,да,26,158.7,91,26.98,160.5,127,13.64,218.3,88,9.82,9.9,3,2.67,1
411-2977,нет,нет,0,154.5,122,26.27,214.2,71,18.21,178.0,105,8.01,12.0,2,3.24,3
389-8163,нет,да,34,192.3,114,32.69,129.3,114,10.99,136.3,102,6.13,6.3,12,1.7,1
417-4456,нет,нет,0,305.1,106,51.87,188.0,115,15.98,235.4,116,10.59,8.5,5,2.3,0
351-1894,нет,да,38,193.0,106,32.81,153.6,106,13.06,260.4,87,11.72,7.4,5,2.0,2
386-6408,нет,нет,0,72.5,88,12.33,204.0,112,17.34,117.9,118,5.31,6.6,3,1.78,1
370-9592,нет,да,40,105.2,61,17.88,341.3,79,29.01,165.7,97,7.46,6.3,3,1.7,2
397-9251,нет,нет,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2
